,md5,filename
0,0a2b18b486327ce5fc8c3ae6a183d379,PenWorkspace.dll
1,000d0165436af899c9abeebe04bc25f1,fveapi.dll
2,0dfcb125a24029ecef69109f02149ea9,AppxUpgradeMigrationPlugin.dll
3,0e633749003a77b1d037209369cc96d1,msi.dll
4,0f1dea5689a8dd2bc3659cda5c5efc6e,PeopleBarFlyout.dll
5,0f525e067a9f4b56717310785eff8eb5,localspl.dll
6,1a646425b750b74ecae785023b646b25,cloudAP.dll
7,1b4346c8339a59a30c48e5b1de418d51,gdi32full.dll
8,2ad32ce9d0cd342cdfdb5162dcc25fee,vmusrv.dll
9,2afed36b81c92e891c160044c11dfc01,Microsoft.Uev.AppAgent.dll
10,2cc1afea8c8bd73c85e01e5a3633f100,CbsCore.dll
11,2ee3543160e266f0f48f1c6052a71d78,OcOffice.dll
12,3d98bada48a9bdf344be842c039e0d15,VmEmulatedNic.dll
13,3f50873456d7cb38dd15c7e143708222,comdlg32.dll
14,3fa362329cfb77e14b677d531a0eb779,AppVEntStreamingManager.dll
15,4a39fa2909de1ca07abaf32cb01bb03c,crypt32.dll
16,4a2437315a82b4fad1afdfc7fc8e3956,bootspaces.dll
17,4ba1fafeadea0f95cc32c814a1c89ca5,bfsvc.dll
18,4cd8f3403d04bb48a4b3f6a489544f9d,hvix64.exe
19,4d376e731c4184d79b496edcfedf04a4,System.Management.Automation.ni.dll
20,5a8a89179370ebe36b03097de3af58db,combase.dll
21,5fbb8e05c0fe6e756ef8ea92bbb64110,sapi_extensions.dll
22,6bfc47bffb4e4379100d2c9d4fa4106e,iertutil.dll
23,6d60466309838f176c2c8ead59f3e342,WindowsInput.dll
24,6dedadae4f70e46bcc11ab58d7182597,tssdisai.dll
25,6e11d75dfb5862cee28140700a2b4db5,ntoskrnl.exe
26,6e83b02f8937865afd97a8164695de9d,vmsynthstor.dll
27,6eed8f2d5594076b5632a76e38bd7beb,vmiccore.dll
28,7dafa650567645df03c30ecc9ee5c454,AppVEntSubsystemController.dll
29,7dfd860156f84422f3f1070a1c1e36d9,mstscax.dll
30,7ebebde9b219ea4fea866aa0611439cd,SetIEInstalledDateAI.dll
31,8c0f9ed256f498fa6941aa5e4f17501c,vmicvdev.dll
32,8d4eb44dfae4935200277efb2f84634f,AppXDeploymentExtensions.onecore.dll
33,8e1d6972cded62927ff95dc18c36f75d,securebootai.dll
34,8fb535c8db8816b186e8455b6a6dc3eb,vmuidevices.dll
35,8fdeb326a6fff297fdf8f603c552f1bd,vmbusvdev.dll
36,9bdc681f137cdb560caec9a6ab14e552,CompatProvider.dll
37,11da01cda57a4ac28034332fde766740,vmdynmem.dll
38,15afd7ef9e155105e254b8bd9952e2ed,UpdateAgent.dll
39,28a9f91c7f5690b14e90fbe65b33535d,ConsoleLogon.dll
40,29e2505e0f74941d3e17e7f3faee6d47,msotdaddin.dll
41,31e4f048cae5b707f92f46267adce9fc,Common.DatabaseServices.dll
42,35ea5dda3a527c24dc198c40479bb338,Microsoft.IO.RecyclableMemoryStream.dll
43,35f0d629f71270e771ac56b480fe19ab,msotdintl.dll
44,41f9f719faccb20d55a74590b56d3a51,msdtcadvancedinstaller.dll
45,42bba7d0c0078e680054eb3c50540655,GenericProvider.dll
46,44af73f6b3315fe1b1c7121485f3e26e,HostNetSvc.dll
47,45ae6c8a1cf0cc8b47e43390f7adaae6,drupdate.dll
48,45bc85360afef0ec3be0ac550c37b772,MicrosoftPdfReader.exe
49,47a7dee1144676d1d08a3e9c9e7f25e5,bcdeditai.dll
50,47ff602667415b4534fdcef7340a351d,sxsoa.dll
51,50db9ce842a7b179cdc31f62dceebde7,Microsoft.Web.WebView2.Wpf.dll
52,51ada0440b3fe06f14241c9c1ee95e8e,edgehtml.dll
53,51b5e16a4a7d7b9f177e7b6856786479,AxInstSv.dll
54,51f05a9ef9475fef0d070371ad8453ca,mfcore.dll
55,52ece7d595d2b82c37ccccca3a9fb90b,OSProvider.dll
56,55ed4430eabf95bbb4e263dfea50f18d,PrimitiveTransformers.dll
57,58c3e031efcccee22eb85f3d47c71439,msoianetutil.dll
58,62c13702ea830959332955affa9c50f2,VirtualTouchpadUI.dll
59,64c9ecefe68b99637153505b573cdc01,turbostack.dll
60,66ff0686914212289f45f90cea2aa160,BootMenuUX.dll
61,67a4de57f69c3a4840dfb45cb147afb4,WpnDataTransformer.dll
62,68c6d2fca63f27b87c83b4dc96ac1bca,appxprovisionpackage.dll
63,069fbb605003c8b282b535cd1b86a1b7,AriTransformer.dll
64,73bcf1f4f067fcb2862677968e2833ce,kdcsvc.dll
65,73fbac279558bfc2b24ec08975b74ecb,netfxconfig.dll
66,88f0528f4048915bb446e7e9b5b038de,omadmclient.exe
67,97dbb475bf8ce08a7bf400703117ff3e,FntCache.dll
68,292c1912edaa456c9817bfbb4a04715a,mfmpeg2srcsnk.dll
69,300bc0ad0dc3ba243cfee7101393c997,hvloader.dll
70,0373a5f91133a65d5a4110a6f5bbb5da,nshwfp.dll
71,0373f0b7a214f216976623d7f21f99fe,syncsharesrv.dll
72,449c850e2a59048976ac0d0445a3a66f,AAD.Core.dll
73,467ea8b643ac74fb181d6a446e14207c,vmsynth3dvideo.dll
74,489e4064dd37c947e7a693c65c2dca72,facecredentialprovider.dll
75,538a91de760f4f1a8f6bbc123b576f95,PrintAdvancedInstaller.dll
76,544e9a13e5ed68f647bbe0c448d28766,untfs.dll
77,704f61e0e58f1f7c23e78e29b71248e2,Windows.UI.SoftLanding.dll
78,801c652d23e5274f82ea3ad3e00b2430,ShoulderTapView.dll
79,845b0a5fcf180600521e97cf2de9a1de,Common.FileUtils.dll
80,863ed93145f91a4ccfbdcebf41092f09,InputService.dll
81,876b0b05c70b20d4f9d911948a81714a,vmpmem.dll
82,2756e73c769f8143f7047cda10e4e5f9,DcfMsoWrapper.dll
83,3904f4c18f32bea59308893f4e229961,OfflineSetupProvider.dll
84,6470be704f6cbbdbaa5444b1d59b2d7f,ProvProvider.dll
85,7844c7785aae9b3863776f86b9086d6d,msxml6.dll
86,8574a4b95b9db8bf5d13a90a0a28827f,NativeShim.dll
87,9077b076b5ba8e1c68e709c0ec4c2dc8,SupplementalServicingAI.dll
88,9827a3aeaf4d773b4beaec16e9150b8d,IEFileInstallAI.dll
89,21417a8f5c8ffa2a758608a8cd34ba4f,npMeetingJoinPluginOC.dll
90,32648ce4fb7a36bf75ebf9d922d7d720,IntlProvider.dll
91,41191d9f8c8b48800bee91e095dac17b,Common.DatabaseCore.dll
92,45822c6540fd8bb19999de008c41421c,Microsoft.Web.WebView2.Core.dll
93,61573f63ff6a16f45b252abeb1ed3c47,AppVIntegration.dll
94,69885c0fea71fbd25c92c85775761e2a,profsvcext.dll
95,92705a0ebfafdab7e53b7df8bbfb423d,vmemulateddevices.dll
96,403390cce900d70939b62b74cf64045f,Common.AuditItems.dll
97,591202b095e809265c8e42111b70b8af,lync99.exe
98,759679d63849d685967319e94f0fa400,eData.dll
99,887703bd16c4ef46638ee87cb4658571,ApplyTrustOffline.exe
100,1071537e984dadb64150d9f5bdebe5a2,CbsProvider.dll
101,01590048d7ddfba3cff7fcbd972f05a4,VmEmulatedStorage.dll
102,4448474ebe01034a99ca554037fbd8cf,servicemodelregai.dll
103,7005255f25d295d21ce8cfb81796907a,gtservice.dll
104,27921352d8ce531996b78c9f0e74f70b,tssdis.exe
105,275664866d7b55f0cf5339c7bd076f68,SpreadsheetIQ.ExcelAddIn.dll
106,611135104c75fa4e8ea19a5f615925ba,Common.MsoInterop.dll
107,5652193011bdf47148e841c1be85f3f3,Microsoft.Skype.ECS.Core.dll
108,6020972201f95fb4aa9648f39ea1848c,msmpeg2vdec.dll
109,5390442784614e6a37383d709866ab18,vp9fs.dll
110,34199797243484898ba20046d0b888bb,SenseMirror.dll
111,a6d611648da7ee23d6d5b3317e3e3070,ieframe.dll
112,a9e5392fd7242cf203421c95aac4f9aa,fveapibase.dll
113,a37e1284e198a8ae0d3801b6609e5625,vmchipset.dll
114,a41a5a8e01b910ecc4bf74cffc1d4559,Common.SqlDatabase.dll
115,a926b53b70e42637dda93d807df8a9c2,Microsoft.Uev.Office2013CustomActions.dll
116,a7616a2235d5829c68e2a52e9c4bad58,appserverai.dll
117,a46459bd8608a6a4c509c93481266204,cmiaisupport.dll
118,a81818eaf7fdf7b7489edcf19955d380,diagnostic.dll
119,aa1bb4fa893bd477d7cdc0d0237a1e0e,mshtml.dll
120,aa47fd0855808270dfb29ae019151b51,ConfigureIEOptionalComponentsAI.dll
121,aa15266192156cc927de2f33d862441d,DmiProvider.dll
122,abeaccf77d58d265a12e7a258bac1059,Mitigation.dll
123,ac2aa1273db550600cec8b25a4d8c68b,ActivationVdev.dll
124,acbd76b1283a59810ee4539d665a9a0c,Microsoft.Toolkit.Mvvm.dll
125,b0d4d60795b23c3e81de89ec7fb46596,hal.dll
126,b1e84fd82ff7893693ff36d6c385bb93,fveupdateai.dll
127,b07bf83ee084315b67c43bd4fe2a0c22,vmsmb.dll
128,b59eae03df718057502207e73a013ab6,mispace.dll
129,b87a06995b4fdbb4e1a4e19db8cc31b5,AppResolver.dll
130,b92e9eef3443cb7a7f8046f53c67800e,enterprisecsps.dll
131,b95c9d45391d32eb11b3ac6375973827,AppXDeploymentClient.dll
132,b95cf870f28390a8b5fec448987f0f6a,win32ui.dll
133,b151b16c3489deb9416628a722117125,daxexec.dll
134,b849b85bdac2accc88673e67f7dc5383,shtransform.dll
135,b32100c87567101e54d704ae4e4e4d87,ramgmtpsprovider.dll
136,b319510f370802648e5351d6110d8d54,excelcnv.exe
137,b0852482816c2ec434807c630309d813,eView.dll
138,ba44b7770c15de8cece7af4fcfab9b70,RjvClassicApp.dll
139,ba90f247e192d99f6f29795b67a5d11b,Microsoft.Web.WebView2.WinForms.dll
140,bad53aec93d20fbc44abe87f866255f7,vmicrdv.dll
141,bb9459ba7edd5bc11810ff816da4cc2e,Microsoft.Skype.Seatbelt.Core.ClientHelpers.dll
142,bbfe059e8317604cefc3518f5895a5ff,SmiProvider.dll
143,bc5766ec3819a88a4ba273ebed217933,TransportDSA.dll
144,bc636478d59d9ba9d62c62a92f338ced,vmsynthfcvdev.dll
145,bcb62f6df19e1102be47f299b04a7226,Common.PasswordManager.dll
146,becf1c5794fc733de27497811c0410a0,wdsutil.dll
147,c2c49e8c833f94bf303ef5c649e999cd,ntshrui.dll
148,c3aa228a351b792ad9248b32997cf642,weretw.dll
149,c3baace9884c539a20f787b6667376c8,webplatstorageserver.dll
150,c4c29a7be5c0b074750a6a09f332d293,MrmCoreR.dll
151,c5f66890b842d8875a4abc33e4869061,Inquire.dll
